Unidades territoriales;Indicadores de renta media;Periodo;Total
2900801003 Alhaurín el Grande sección 01003;Renta media por hogar;2017;21.515
2900801003 Alhaurín el Grande sección 01003;Renta media por hogar;2016;20.152
2900801003 Alhaurín el Grande sección 01003;Renta media por hogar;2015;19.440
2900801004 Alhaurín el Grande sección 01004;Renta media por persona ;2017;8.017
2900801004 Alhaurín el Grande sección 01004;Renta media por persona ;2016;7.510
2900801004 Alhaurín el Grande sección 01004;Renta media por persona ;2015;7.247
2900801004 Alhaurín el Grande sección 01004;Renta media por hogar;2017;23.737
2900801004 Alhaurín el Grande sección 01004;Renta media por hogar;2016;22.714
2900801004 Alhaurín el Grande sección 01004;Renta media por hogar;2015;21.894
2900801006 Alhaurín el Grande sección 01006;Renta media por persona ;2017;7.200
2900801006 Alhaurín el Grande sección 01006;Renta media por persona ;2016;6.734
2900801006 Alhaurín el Grande sección 01006;Renta media por persona ;2015;6.513
2900801006 Alhaurín el Grande sección 01006;Renta media por hogar;2017;21.877
2900801006 Alhaurín el Grande sección 01006;Renta media por hogar;2016;20.883
2900801006 Alhaurín el Grande sección 01006;Renta media por hogar;2015;19.920
2900801007 Alhaurín el Grande sección 01007;Renta media por persona ;2017;6.973
2900801007 Alhaurín el Grande sección 01007;Renta media por persona ;2016;6.425
2900801007 Alhaurín el Grande sección 01007;Renta media por persona ;2015;6.641
2900801007 Alhaurín el Grande sección 01007;Renta media por hogar;2017;22.666
2900801007 Alhaurín el Grande sección 01007;Renta media por hogar;2016;20.616
2900801007 Alhaurín el Grande sección 01007;Renta media por hogar;2015;21.925
2900802 Alhaurín el Grande distrito 02;Renta media por persona ;2017;7.057
2900802 Alhaurín el Grande distrito 02;Renta media por persona ;2016;6.701
2900802 Alhaurín el Grande distrito 02;Renta media por persona ;2015;6.505
2900802 Alhaurín el Grande distrito 02;Renta media por hogar;2017;21.442
2900802 Alhaurín el Grande distrito 02;Renta media por hogar;2016;20.594
2900802 Alhaurín el Grande distrito 02;Renta media por hogar;2015;19.976
2900802001 Alhaurín el Grande sección 02001;Renta media por persona ;2017;7.172
2900802001 Alhaurín el Grande sección 02001;Renta media por persona ;2016;7.176
2900802001 Alhaurín el Grande sección 02001;Renta media por persona ;2015;6.934
2900802001 Alhaurín el Grande sección 02001;Renta media por hogar;2017;20.605
2900802001 Alhaurín el Grande sección 02001;Renta media por hogar;2016;20.814
2900802001 Alhaurín el Grande sección 02001;Renta media por hogar;2015;20.005
2900802003 Alhaurín el Grande sección 02003;Renta media por persona ;2017;7.016
2900802003 Alhaurín el Grande sección 02003;Renta media por persona ;2016;6.563
2900802003 Alhaurín el Grande sección 02003;Renta media por persona ;2015;6.317
2900802003 Alhaurín el Grande sección 02003;Renta media por hogar;2017;21.513
2900802003 Alhaurín el Grande sección 02003;Renta media por hogar;2016;20.405
2900802003 Alhaurín el Grande sección 02003;Renta media por hogar;2015;19.471
2900802004 Alhaurín el Grande sección 02004;Renta media por persona ;2017;6.998
2900802004 Alhaurín el Grande sección 02004;Renta media por persona ;2016;6.418
2900802004 Alhaurín el Grande sección 02004;Renta media por persona ;2015;6.325
2900802004 Alhaurín el Grande sección 02004;Renta media por hogar;2017;22.231
2900802004 Alhaurín el Grande sección 02004;Renta media por hogar;2016;20.612
2900802004 Alhaurín el Grande sección 02004;Renta media por hogar;2015;20.632
2900803 Alhaurín el Grande distrito 03;Renta media por persona ;2017;7.129
2900803 Alhaurín el Grande distrito 03;Renta media por persona ;2016;6.462
2900803 Alhaurín el Grande distrito 03;Renta media por persona ;2015;6.247
2900803 Alhaurín el Grande distrito 03;Renta media por hogar;2017;21.246
2900803 Alhaurín el Grande distrito 03;Renta media por hogar;2016;19.682
