Unidades territoriales;Indicadores de renta media;Periodo;Total
1100401025 Algeciras sección 01025;Renta media por hogar;2016;31.245
1100401025 Algeciras sección 01025;Renta media por hogar;2015;29.792
1100401026 Algeciras sección 01026;Renta media por persona ;2017;10.827
1100401026 Algeciras sección 01026;Renta media por persona ;2016;10.552
1100401026 Algeciras sección 01026;Renta media por persona ;2015;10.233
1100401026 Algeciras sección 01026;Renta media por hogar;2017;35.464
1100401026 Algeciras sección 01026;Renta media por hogar;2016;34.157
1100401026 Algeciras sección 01026;Renta media por hogar;2015;32.698
1100402 Algeciras distrito 02;Renta media por persona ;2017;10.051
1100402 Algeciras distrito 02;Renta media por persona ;2016;9.919
1100402 Algeciras distrito 02;Renta media por persona ;2015;9.721
1100402 Algeciras distrito 02;Renta media por hogar;2017;29.842
1100402 Algeciras distrito 02;Renta media por hogar;2016;29.416
1100402 Algeciras distrito 02;Renta media por hogar;2015;28.425
1100402001 Algeciras sección 02001;Renta media por persona ;2017;11.460
1100402001 Algeciras sección 02001;Renta media por persona ;2016;11.112
1100402001 Algeciras sección 02001;Renta media por persona ;2015;10.831
1100402001 Algeciras sección 02001;Renta media por hogar;2017;29.496
1100402001 Algeciras sección 02001;Renta media por hogar;2016;28.856
1100402001 Algeciras sección 02001;Renta media por hogar;2015;26.608
1100402002 Algeciras sección 02002;Renta media por persona ;2017;8.704
1100402002 Algeciras sección 02002;Renta media por persona ;2016;8.910
1100402002 Algeciras sección 02002;Renta media por persona ;2015;8.974
1100402002 Algeciras sección 02002;Renta media por hogar;2017;24.583
1100402002 Algeciras sección 02002;Renta media por hogar;2016;25.354
1100402002 Algeciras sección 02002;Renta media por hogar;2015;23.738
1100402003 Algeciras sección 02003;Renta media por persona ;2017;6.469
1100402003 Algeciras sección 02003;Renta media por persona ;2016;6.545
1100402003 Algeciras sección 02003;Renta media por persona ;2015;6.365
1100402003 Algeciras sección 02003;Renta media por hogar;2017;18.343
1100402003 Algeciras sección 02003;Renta media por hogar;2016;18.228
1100402003 Algeciras sección 02003;Renta media por hogar;2015;17.436
1100402004 Algeciras sección 02004;Renta media por persona ;2017;8.457
1100402004 Algeciras sección 02004;Renta media por persona ;2016;8.358
1100402004 Algeciras sección 02004;Renta media por persona ;2015;7.971
1100402004 Algeciras sección 02004;Renta media por hogar;2017;23.418
1100402004 Algeciras sección 02004;Renta media por hogar;2016;22.726
1100402004 Algeciras sección 02004;Renta media por hogar;2015;20.663
1100402005 Algeciras sección 02005;Renta media por persona ;2017;5.671
1100402005 Algeciras sección 02005;Renta media por persona ;2016;5.442
1100402005 Algeciras sección 02005;Renta media por persona ;2015;5.370
1100402005 Algeciras sección 02005;Renta media por hogar;2017;18.270
1100402005 Algeciras sección 02005;Renta media por hogar;2016;17.587
1100402005 Algeciras sección 02005;Renta media por hogar;2015;16.333
1100402006 Algeciras sección 02006;Renta media por persona ;2017;7.516
1100402006 Algeciras sección 02006;Renta media por persona ;2016;7.326
1100402006 Algeciras sección 02006;Renta media por persona ;2015;7.292
1100402006 Algeciras sección 02006;Renta media por hogar;2017;21.296
1100402006 Algeciras sección 02006;Renta media por hogar;2016;20.024
1100402006 Algeciras sección 02006;Renta media por hogar;2015;20.263
1100402007 Algeciras sección 02007;Renta media por persona ;2017;5.371
1100402007 Algeciras sección 02007;Renta media por persona ;2016;5.331
1100402007 Algeciras sección 02007;Renta media por persona ;2015;5.194
1100402007 Algeciras sección 02007;Renta media por hogar;2017;15.716
1100402007 Algeciras sección 02007;Renta media por hogar;2016;15.712
1100402007 Algeciras sección 02007;Renta media por hogar;2015;15.990
1100402008 Algeciras sección 02008;Renta media por persona ;2017;7.154
1100402008 Algeciras sección 02008;Renta media por persona ;2016;7.176
1100402008 Algeciras sección 02008;Renta media por persona ;2015;7.175
1100402008 Algeciras sección 02008;Renta media por hogar;2017;19.998
1100402008 Algeciras sección 02008;Renta media por hogar;2016;20.047
1100402008 Algeciras sección 02008;Renta media por hogar;2015;21.140
1100402009 Algeciras sección 02009;Renta media por persona ;2017;4.629
1100402009 Algeciras sección 02009;Renta media por persona ;2016;4.534
1100402009 Algeciras sección 02009;Renta media por persona ;2015;4.669
1100402009 Algeciras sección 02009;Renta media por hogar;2017;15.315
1100402009 Algeciras sección 02009;Renta media por hogar;2016;14.975
1100402009 Algeciras sección 02009;Renta media por hogar;2015;14.320
1100402010 Algeciras sección 02010;Renta media por persona ;2017;11.742
1100402010 Algeciras sección 02010;Renta media por persona ;2016;11.363
1100402010 Algeciras sección 02010;Renta media por persona ;2015;11.061
1100402010 Algeciras sección 02010;Renta media por hogar;2017;34.086
1100402010 Algeciras sección 02010;Renta media por hogar;2016;33.505
1100402010 Algeciras sección 02010;Renta media por hogar;2015;32.401
1100402011 Algeciras sección 02011;Renta media por persona ;2017;17.972
1100402011 Algeciras sección 02011;Renta media por persona ;2016;17.464
1100402011 Algeciras sección 02011;Renta media por persona ;2015;17.843
1100402011 Algeciras sección 02011;Renta media por hogar;2017;54.822
1100402011 Algeciras sección 02011;Renta media por hogar;2016;53.615
1100402011 Algeciras sección 02011;Renta media por hogar;2015;54.614
1100402012 Algeciras sección 02012;Renta media por persona ;2017;13.419
1100402012 Algeciras sección 02012;Renta media por persona ;2016;13.313
1100402012 Algeciras sección 02012;Renta media por persona ;2015;13.177
1100402012 Algeciras sección 02012;Renta media por hogar;2017;41.075
1100402012 Algeciras sección 02012;Renta media por hogar;2016;40.549
1100402012 Algeciras sección 02012;Renta media por hogar;2015;40.240
1100402014 Algeciras sección 02014;Renta media por persona ;2017;11.162
1100402014 Algeciras sección 02014;Renta media por persona ;2016;11.027
1100402014 Algeciras sección 02014;Renta media por persona ;2015;10.197
1100402014 Algeciras sección 02014;Renta media por hogar;2017;35.325
1100402014 Algeciras sección 02014;Renta media por hogar;2016;36.386
1100402014 Algeciras sección 02014;Renta media por hogar;2015;34.425
1100402015 Algeciras sección 02015;Renta media por persona ;2017;13.778
1100402015 Algeciras sección 02015;Renta media por persona ;2016;13.670
1100402015 Algeciras sección 02015;Renta media por persona ;2015;13.089
1100402015 Algeciras sección 02015;Renta media por hogar;2017;46.755
1100402015 Algeciras sección 02015;Renta media por hogar;2016;46.543
1100402015 Algeciras sección 02015;Renta media por hogar;2015;45.010
1100402016 Algeciras sección 02016;Renta media por persona ;2017;12.572
1100402016 Algeciras sección 02016;Renta media por persona ;2016;12.403
1100402016 Algeciras sección 02016;Renta media por persona ;2015;11.998
1100402016 Algeciras sección 02016;Renta media por hogar;2017;37.064
1100402016 Algeciras sección 02016;Renta media por hogar;2016;36.657
1100402016 Algeciras sección 02016;Renta media por hogar;2015;35.371
1100402017 Algeciras sección 02017;Renta media por persona ;2017;10.873
1100402017 Algeciras sección 02017;Renta media por persona ;2016;10.610
1100402017 Algeciras sección 02017;Renta media por persona ;2015;10.095
1100402017 Algeciras sección 02017;Renta media por hogar;2017;35.398
1100402017 Algeciras sección 02017;Renta media por hogar;2016;34.593
1100402017 Algeciras sección 02017;Renta media por hogar;2015;32.888
1100402018 Algeciras sección 02018;Renta media por persona ;2017;5.144
1100402018 Algeciras sección 02018;Renta media por persona ;2016;4.892
1100402018 Algeciras sección 02018;Renta media por persona ;2015;4.568
1100402018 Algeciras sección 02018;Renta media por hogar;2017;17.151
1100402018 Algeciras sección 02018;Renta media por hogar;2016;16.230
1100402018 Algeciras sección 02018;Renta media por hogar;2015;15.076
1100402019 Algeciras sección 02019;Renta media por persona ;2017;11.130
1100402019 Algeciras sección 02019;Renta media por persona ;2016;11.263
