Unidades territoriales;Indicadores de renta media;Periodo;Total
1400704001 Baena sección 04001;Renta media por persona ;2017;6.414
1400704001 Baena sección 04001;Renta media por persona ;2016;5.893
1400704001 Baena sección 04001;Renta media por persona ;2015;5.751
1400704001 Baena sección 04001;Renta media por hogar;2017;16.161
1400704001 Baena sección 04001;Renta media por hogar;2016;15.189
1400704001 Baena sección 04001;Renta media por hogar;2015;14.696
1400704002 Baena sección 04002;Renta media por persona ;2017;4.704
1400704002 Baena sección 04002;Renta media por persona ;2016;4.278
1400704002 Baena sección 04002;Renta media por persona ;2015;4.283
1400704002 Baena sección 04002;Renta media por hogar;2017;12.864
1400704002 Baena sección 04002;Renta media por hogar;2016;12.061
1400704002 Baena sección 04002;Renta media por hogar;2015;12.128
1400705 Baena distrito 05;Renta media por persona ;2017;8.076
1400705 Baena distrito 05;Renta media por persona ;2016;7.470
1400705 Baena distrito 05;Renta media por persona ;2015;6.997
1400705 Baena distrito 05;Renta media por hogar;2017;18.053
1400705 Baena distrito 05;Renta media por hogar;2016;16.815
1400705 Baena distrito 05;Renta media por hogar;2015;16.030
1400705001 Baena sección 05001;Renta media por persona ;2017;8.076
1400705001 Baena sección 05001;Renta media por persona ;2016;7.470
1400705001 Baena sección 05001;Renta media por persona ;2015;6.997
1400705001 Baena sección 05001;Renta media por hogar;2017;18.053
1400705001 Baena sección 05001;Renta media por hogar;2016;16.815
1400705001 Baena sección 05001;Renta media por hogar;2015;16.030
14008 Belalcázar;Renta media por persona ;2017;7.693
14008 Belalcázar;Renta media por persona ;2016;7.333
14008 Belalcázar;Renta media por persona ;2015;7.070
14008 Belalcázar;Renta media por hogar;2017;19.592
14008 Belalcázar;Renta media por hogar;2016;18.882
14008 Belalcázar;Renta media por hogar;2015;18.518
1400801 Belalcázar distrito 01;Renta media por persona ;2017;6.935
1400801 Belalcázar distrito 01;Renta media por persona ;2016;6.495
1400801 Belalcázar distrito 01;Renta media por persona ;2015;6.443
1400801 Belalcázar distrito 01;Renta media por hogar;2017;17.378
1400801 Belalcázar distrito 01;Renta media por hogar;2016;16.634
1400801 Belalcázar distrito 01;Renta media por hogar;2015;16.728
1400801001 Belalcázar sección 01001;Renta media por persona ;2017;6.935
1400801001 Belalcázar sección 01001;Renta media por persona ;2016;6.495
1400801001 Belalcázar sección 01001;Renta media por persona ;2015;6.443
1400801001 Belalcázar sección 01001;Renta media por hogar;2017;17.378
1400801001 Belalcázar sección 01001;Renta media por hogar;2016;16.634
1400801001 Belalcázar sección 01001;Renta media por hogar;2015;16.728
1400802 Belalcázar distrito 02;Renta media por persona ;2017;8.208
1400802 Belalcázar distrito 02;Renta media por persona ;2016;7.868
