Unidades territoriales;Indicadores de renta media;Periodo;Total
2100501 Almonte distrito 01;Renta media por persona ;2016;7.675
2100501 Almonte distrito 01;Renta media por persona ;2015;7.388
2100501 Almonte distrito 01;Renta media por hogar;2017;22.821
2100501 Almonte distrito 01;Renta media por hogar;2016;22.557
2100501 Almonte distrito 01;Renta media por hogar;2015;21.716
2100501001 Almonte sección 01001;Renta media por persona ;2017;8.334
2100501001 Almonte sección 01001;Renta media por persona ;2016;8.072
2100501001 Almonte sección 01001;Renta media por persona ;2015;7.705
2100501001 Almonte sección 01001;Renta media por hogar;2017;24.021
2100501001 Almonte sección 01001;Renta media por hogar;2016;23.750
2100501001 Almonte sección 01001;Renta media por hogar;2015;22.782
2100501002 Almonte sección 01002;Renta media por persona ;2017;6.969
2100501002 Almonte sección 01002;Renta media por persona ;2016;6.651
2100501002 Almonte sección 01002;Renta media por persona ;2015;6.328
2100501002 Almonte sección 01002;Renta media por hogar;2017;19.742
2100501002 Almonte sección 01002;Renta media por hogar;2016;19.579
2100501002 Almonte sección 01002;Renta media por hogar;2015;18.761
2100501003 Almonte sección 01003;Renta media por persona ;2017;9.013
2100501003 Almonte sección 01003;Renta media por persona ;2016;8.624
2100501003 Almonte sección 01003;Renta media por persona ;2015;8.286
2100501003 Almonte sección 01003;Renta media por hogar;2017;25.926
2100501003 Almonte sección 01003;Renta media por hogar;2016;25.461
2100501003 Almonte sección 01003;Renta media por hogar;2015;24.501
2100501004 Almonte sección 01004;Renta media por persona ;2017;7.278
2100501004 Almonte sección 01004;Renta media por persona ;2016;7.143
2100501004 Almonte sección 01004;Renta media por persona ;2015;6.964
2100501004 Almonte sección 01004;Renta media por hogar;2017;21.043
2100501004 Almonte sección 01004;Renta media por hogar;2016;20.878
2100501004 Almonte sección 01004;Renta media por hogar;2015;20.163
2100502 Almonte distrito 02;Renta media por persona ;2017;8.057
2100502 Almonte distrito 02;Renta media por persona ;2016;7.717
2100502 Almonte distrito 02;Renta media por persona ;2015;7.476
2100502 Almonte distrito 02;Renta media por hogar;2017;22.311
2100502 Almonte distrito 02;Renta media por hogar;2016;22.343
2100502 Almonte distrito 02;Renta media por hogar;2015;21.734
2100502001 Almonte sección 02001;Renta media por persona ;2017;8.004
2100502001 Almonte sección 02001;Renta media por persona ;2016;7.673
2100502001 Almonte sección 02001;Renta media por persona ;2015;7.228
2100502001 Almonte sección 02001;Renta media por hogar;2017;22.521
2100502001 Almonte sección 02001;Renta media por hogar;2016;22.364
2100502001 Almonte sección 02001;Renta media por hogar;2015;21.879
2100502002 Almonte sección 02002;Renta media por persona ;2017;7.970
2100502002 Almonte sección 02002;Renta media por persona ;2016;7.635
2100502002 Almonte sección 02002;Renta media por persona ;2015;7.545
2100502002 Almonte sección 02002;Renta media por hogar;2017;21.526
2100502002 Almonte sección 02002;Renta media por hogar;2016;21.682
2100502002 Almonte sección 02002;Renta media por hogar;2015;21.143
2100502003 Almonte sección 02003;Renta media por persona ;2017;8.158
2100502003 Almonte sección 02003;Renta media por persona ;2016;7.812
2100502003 Almonte sección 02003;Renta media por persona ;2015;7.545
2100502003 Almonte sección 02003;Renta media por hogar;2017;22.885
2100502003 Almonte sección 02003;Renta media por hogar;2016;22.919
2100502003 Almonte sección 02003;Renta media por hogar;2015;22.206
2100503 Almonte distrito 03;Renta media por persona ;2017;7.562
2100503 Almonte distrito 03;Renta media por persona ;2016;7.212
2100503 Almonte distrito 03;Renta media por persona ;2015;7.072
2100503 Almonte distrito 03;Renta media por hogar;2017;20.175
2100503 Almonte distrito 03;Renta media por hogar;2016;19.359
2100503 Almonte distrito 03;Renta media por hogar;2015;18.876
2100503001 Almonte sección 03001;Renta media por persona ;2017;6.742
2100503001 Almonte sección 03001;Renta media por persona ;2016;6.520
2100503001 Almonte sección 03001;Renta media por persona ;2015;6.403
2100503001 Almonte sección 03001;Renta media por hogar;2017;19.545
2100503001 Almonte sección 03001;Renta media por hogar;2016;19.681
2100503001 Almonte sección 03001;Renta media por hogar;2015;19.155
2100503002 Almonte sección 03002;Renta media por persona ;2017;6.904
2100503002 Almonte sección 03002;Renta media por persona ;2016;6.780
2100503002 Almonte sección 03002;Renta media por persona ;2015;6.618
2100503002 Almonte sección 03002;Renta media por hogar;2017;19.543
2100503002 Almonte sección 03002;Renta media por hogar;2016;19.402
2100503002 Almonte sección 03002;Renta media por hogar;2015;18.766
2100503003 Almonte sección 03003;Renta media por persona ;2017;8.923
2100503003 Almonte sección 03003;Renta media por persona ;2016;8.214
2100503003 Almonte sección 03003;Renta media por persona ;2015;8.173
2100503003 Almonte sección 03003;Renta media por hogar;2017;19.033
2100503003 Almonte sección 03003;Renta media por hogar;2016;18.226
2100503003 Almonte sección 03003;Renta media por hogar;2015;18.161
2100503004 Almonte sección 03004;Renta media por persona ;2017;7.373
