"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"03030","Alicante/Alacant","Benidoleig",98.5950974658869,86.76625,110.8375,0.405458089668616,1810
"03031","Alicante/Alacant","Benidorm",97.0672417153996,94.74375,99.44375,0.00682261208576998,2049
"03032","Alicante/Alacant","Benifallim",103.744454191033,81.5275,129.1375,0.607212475633528,1123
"03033","Alicante/Alacant","Benifato",87.9938304093567,71.31125,106.675,0.107212475633528,3727
"03034","Alicante/Alacant","Benijófar",69.7358089668616,61.675,77.70625,0,7345
"03035","Alicante/Alacant","Benilloba",100.950009746589,87.21625,115.9,0.546783625730994,1462
"03036","Alicante/Alacant","Benillup",98.5233723196881,77.63,120.9625,0.427875243664717,1820
"03037","Alicante/Alacant","Benimantell",100.438196881092,85.93625,116.175,0.517543859649123,1537
"03038","Alicante/Alacant","Benimarfull",106.242573099415,91.06375,122.3375,0.768031189083821,876
"03039","Alicante/Alacant","Benimassot",92.0870565302144,74.2725,112.5125,0.208576998050682,2931
"03040","Alicante/Alacant","Benimeli",124.457699805068,106.8625,145.6,0.994152046783626,71
"03041","Alicante/Alacant","Benissa",71.8469395711501,68.13875,75.58375,0,7044
"03042","Alicante/Alacant","Benitachell/Poble Nou de Benitatxell, el",70.2861111111111,64.215,76.4575,0,7271
"03043","Alicante/Alacant","Biar",85.2393079922027,77.22375,93.14375,0,4305
"03044","Alicante/Alacant","Bigastro",94.2827192982456,86.37375,102.875,0.0847953216374269,2524
"03045","Alicante/Alacant","Bolulla",81.1618226120858,67.67,96.125,0.00584795321637427,5188
"03046","Alicante/Alacant","Busot",94.8842884990253,84.45875,105.4,0.168615984405458,2416
"03047","Alicante/Alacant","Calp",55.6257699805068,53.31875,57.8875,0,8055
"03048","Alicante/Alacant","Callosa d'En Sarrià",96.7288304093567,91.06125,102.4,0.138401559454191,2105
"03049","Alicante/Alacant","Callosa de Segura",107.824074074074,102.9625,112.7,1,744
"03050","Alicante/Alacant","Campello, el",92.7390545808967,88.84125,96.50125,0,2802
"03051","Alicante/Alacant","Campo de Mirra/Camp de Mirra, el",98.6405165692008,83.12625,115.075,0.429824561403509,1804
"03052","Alicante/Alacant","Cañada",89.0179727095517,77.8075,100.9875,0.0350877192982456,3511
"03053","Alicante/Alacant","Castalla",96.2528362573099,90.06875,102.4,0.108187134502924,2189
"03054","Alicante/Alacant","Castell de Castells",118.724756335283,103.3625,133.6875,0.995126705653021,184
"03055","Alicante/Alacant","Catral",93.887992202729,86.72875,101.0375,0.0448343079922027,2592
"03056","Alicante/Alacant","Cocentaina",99.6438011695906,94.68,104.9,0.426900584795322,1646
"03057","Alicante/Alacant","Confrides",88.1130994152047,74.3225,104.3375,0.0633528265107212,3694
"03058","Alicante/Alacant","Cox",94.4863937621832,87.07625,101.9,0.0760233918128655,2492
"03059","Alicante/Alacant","Crevillent",100.246988304094,96.46625,104.0375,0.516569200779727,1570
"03060","Alicante/Alacant","Quatretondeta",92.4914814814815,76.72625,110.7375,0.190058479532164,2847
