Municipios;Sexo;Periodo;Total
21005 Almonte;Hombres;2001;8.911
21005 Almonte;Hombres;2000;8.774
21005 Almonte;Hombres;1999;8.631
21005 Almonte;Hombres;1998;8.470
21005 Almonte;Hombres;1997;""
21005 Almonte;Hombres;1996;8.156
21005 Almonte;Mujeres;2019;12.505
21005 Almonte;Mujeres;2018;12.371
21005 Almonte;Mujeres;2017;11.659
21005 Almonte;Mujeres;2016;11.613
21005 Almonte;Mujeres;2015;11.606
21005 Almonte;Mujeres;2014;11.486
21005 Almonte;Mujeres;2013;11.449
21005 Almonte;Mujeres;2012;11.285
21005 Almonte;Mujeres;2011;11.233
21005 Almonte;Mujeres;2010;11.073
21005 Almonte;Mujeres;2009;10.899
21005 Almonte;Mujeres;2008;10.675
21005 Almonte;Mujeres;2007;10.156
21005 Almonte;Mujeres;2006;9.888
21005 Almonte;Mujeres;2005;9.652
21005 Almonte;Mujeres;2004;9.459
21005 Almonte;Mujeres;2003;9.095
21005 Almonte;Mujeres;2002;8.941
21005 Almonte;Mujeres;2001;8.776
21005 Almonte;Mujeres;2000;8.670
21005 Almonte;Mujeres;1999;8.571
21005 Almonte;Mujeres;1998;8.432
21005 Almonte;Mujeres;1997;""
21005 Almonte;Mujeres;1996;8.108
21006 Alosno;Total;2019;3.923
21006 Alosno;Total;2018;""
21006 Alosno;Total;2017;""
21006 Alosno;Total;2016;""
21006 Alosno;Total;2015;""
21006 Alosno;Total;2014;""
21006 Alosno;Total;2013;""
21006 Alosno;Total;2012;""
21006 Alosno;Total;2011;""
21006 Alosno;Total;2010;""
21006 Alosno;Total;2009;""
21006 Alosno;Total;2008;""
21006 Alosno;Total;2007;""
21006 Alosno;Total;2006;""
21006 Alosno;Total;2005;""
21006 Alosno;Total;2004;""
21006 Alosno;Total;2003;""
21006 Alosno;Total;2002;""
21006 Alosno;Total;2001;""
21006 Alosno;Total;2000;""
21006 Alosno;Total;1999;""
21006 Alosno;Total;1998;""
21006 Alosno;Total;1997;""
21006 Alosno;Total;1996;""
21006 Alosno;Hombres;2019;1.929
21006 Alosno;Hombres;2018;1.926
21006 Alosno;Hombres;2017;1.934
21006 Alosno;Hombres;2016;1.955
21006 Alosno;Hombres;2015;1.966
21006 Alosno;Hombres;2014;1.996
21006 Alosno;Hombres;2013;2.007
21006 Alosno;Hombres;2012;2.060
21006 Alosno;Hombres;2011;2.075
21006 Alosno;Hombres;2010;2.127
21006 Alosno;Hombres;2009;2.114
21006 Alosno;Hombres;2008;2.120
21006 Alosno;Hombres;2007;2.116
21006 Alosno;Hombres;2006;2.159
21006 Alosno;Hombres;2005;2.178
21006 Alosno;Hombres;2004;2.152
21006 Alosno;Hombres;2003;2.182
21006 Alosno;Hombres;2002;2.248
21006 Alosno;Hombres;2001;2.309
21006 Alosno;Hombres;2000;2.324
21006 Alosno;Hombres;1999;2.329
21006 Alosno;Hombres;1998;2.346
21006 Alosno;Hombres;1997;""
21006 Alosno;Hombres;1996;2.436
21006 Alosno;Mujeres;2019;1.994
21006 Alosno;Mujeres;2018;2.016
21006 Alosno;Mujeres;2017;2.020
21006 Alosno;Mujeres;2016;2.040
21006 Alosno;Mujeres;2015;2.072
21006 Alosno;Mujeres;2014;2.107
21006 Alosno;Mujeres;2013;2.145
21006 Alosno;Mujeres;2012;2.171
21006 Alosno;Mujeres;2011;2.210
21006 Alosno;Mujeres;2010;2.259
21006 Alosno;Mujeres;2009;2.267
21006 Alosno;Mujeres;2008;2.304
21006 Alosno;Mujeres;2007;2.293
21006 Alosno;Mujeres;2006;2.319
21006 Alosno;Mujeres;2005;2.336
21006 Alosno;Mujeres;2004;2.267
21006 Alosno;Mujeres;2003;2.332
21006 Alosno;Mujeres;2002;2.422
21006 Alosno;Mujeres;2001;2.483
21006 Alosno;Mujeres;2000;2.510
21006 Alosno;Mujeres;1999;2.514
21006 Alosno;Mujeres;1998;2.515
21006 Alosno;Mujeres;1997;""
21006 Alosno;Mujeres;1996;2.618
21007 Aracena;Total;2019;8.107
21007 Aracena;Total;2018;""
21007 Aracena;Total;2017;""
21007 Aracena;Total;2016;""
21007 Aracena;Total;2015;""
21007 Aracena;Total;2014;""
21007 Aracena;Total;2013;""
21007 Aracena;Total;2012;""
21007 Aracena;Total;2011;""
21007 Aracena;Total;2010;""
21007 Aracena;Total;2009;""
21007 Aracena;Total;2008;""
21007 Aracena;Total;2007;""
21007 Aracena;Total;2006;""
21007 Aracena;Total;2005;""
21007 Aracena;Total;2004;""
21007 Aracena;Total;2003;""
21007 Aracena;Total;2002;""
21007 Aracena;Total;2001;""
21007 Aracena;Total;2000;""
21007 Aracena;Total;1999;""
