Unidades territoriales;Indicadores de renta media;Periodo;Total
1801001001 Aldeire sección 01001;Renta media por persona ;2015;8.785
1801001001 Aldeire sección 01001;Renta media por hogar;2017;19.293
1801001001 Aldeire sección 01001;Renta media por hogar;2016;18.595
1801001001 Aldeire sección 01001;Renta media por hogar;2015;19.212
18011 Alfacar;Renta media por persona ;2017;8.988
18011 Alfacar;Renta media por persona ;2016;8.690
18011 Alfacar;Renta media por persona ;2015;8.368
18011 Alfacar;Renta media por hogar;2017;24.246
18011 Alfacar;Renta media por hogar;2016;23.867
18011 Alfacar;Renta media por hogar;2015;23.126
1801101 Alfacar distrito 01;Renta media por persona ;2017;8.988
1801101 Alfacar distrito 01;Renta media por persona ;2016;8.690
1801101 Alfacar distrito 01;Renta media por persona ;2015;8.368
1801101 Alfacar distrito 01;Renta media por hogar;2017;24.246
1801101 Alfacar distrito 01;Renta media por hogar;2016;23.867
1801101 Alfacar distrito 01;Renta media por hogar;2015;23.126
1801101001 Alfacar sección 01001;Renta media por persona ;2017;9.204
1801101001 Alfacar sección 01001;Renta media por persona ;2016;8.848
1801101001 Alfacar sección 01001;Renta media por persona ;2015;8.582
1801101001 Alfacar sección 01001;Renta media por hogar;2017;24.087
1801101001 Alfacar sección 01001;Renta media por hogar;2016;23.259
1801101001 Alfacar sección 01001;Renta media por hogar;2015;22.457
1801101002 Alfacar sección 01002;Renta media por persona ;2017;8.069
1801101002 Alfacar sección 01002;Renta media por persona ;2016;7.893
1801101002 Alfacar sección 01002;Renta media por persona ;2015;7.673
1801101002 Alfacar sección 01002;Renta media por hogar;2017;21.910
1801101002 Alfacar sección 01002;Renta media por hogar;2016;21.705
1801101002 Alfacar sección 01002;Renta media por hogar;2015;21.375
1801101003 Alfacar sección 01003;Renta media por persona ;2017;9.350
1801101003 Alfacar sección 01003;Renta media por persona ;2016;9.036
1801101003 Alfacar sección 01003;Renta media por persona ;2015;8.582
1801101003 Alfacar sección 01003;Renta media por hogar;2017;25.605
1801101003 Alfacar sección 01003;Renta media por hogar;2016;25.599
1801101003 Alfacar sección 01003;Renta media por hogar;2015;24.479
1801101004 Alfacar sección 01004;Renta media por persona ;2017;9.930
1801101004 Alfacar sección 01004;Renta media por persona ;2016;9.491
1801101004 Alfacar sección 01004;Renta media por persona ;2015;9.129
1801101004 Alfacar sección 01004;Renta media por hogar;2017;26.975
1801101004 Alfacar sección 01004;Renta media por hogar;2016;26.361
1801101004 Alfacar sección 01004;Renta media por hogar;2015;25.585
18012 Algarinejo;Renta media por persona ;2017;8.095
18012 Algarinejo;Renta media por persona ;2016;7.955
18012 Algarinejo;Renta media por persona ;2015;7.815
18012 Algarinejo;Renta media por hogar;2017;16.882
18012 Algarinejo;Renta media por hogar;2016;16.738
18012 Algarinejo;Renta media por hogar;2015;16.465
1801201 Algarinejo distrito 01;Renta media por persona ;2017;8.095
1801201 Algarinejo distrito 01;Renta media por persona ;2016;7.955
1801201 Algarinejo distrito 01;Renta media por persona ;2015;7.815
