Unidades territoriales;Indicadores de renta media;Periodo;Total
04006 Albox;Renta media por hogar;2015;19.932
0400601 Albox distrito 01;Renta media por persona ;2017;8.929
0400601 Albox distrito 01;Renta media por persona ;2016;8.866
0400601 Albox distrito 01;Renta media por persona ;2015;8.877
0400601 Albox distrito 01;Renta media por hogar;2017;23.177
0400601 Albox distrito 01;Renta media por hogar;2016;22.455
0400601 Albox distrito 01;Renta media por hogar;2015;22.003
0400601001 Albox sección 01001;Renta media por persona ;2017;8.178
0400601001 Albox sección 01001;Renta media por persona ;2016;8.042
0400601001 Albox sección 01001;Renta media por persona ;2015;7.899
0400601001 Albox sección 01001;Renta media por hogar;2017;21.973
0400601001 Albox sección 01001;Renta media por hogar;2016;21.194
0400601001 Albox sección 01001;Renta media por hogar;2015;20.317
0400601002 Albox sección 01002;Renta media por persona ;2017;9.573
0400601002 Albox sección 01002;Renta media por persona ;2016;9.553
0400601002 Albox sección 01002;Renta media por persona ;2015;9.676
0400601002 Albox sección 01002;Renta media por hogar;2017;24.147
0400601002 Albox sección 01002;Renta media por hogar;2016;23.433
0400601002 Albox sección 01002;Renta media por hogar;2015;23.293
0400602 Albox distrito 02;Renta media por persona ;2017;7.360
0400602 Albox distrito 02;Renta media por persona ;2016;7.213
0400602 Albox distrito 02;Renta media por persona ;2015;6.976
0400602 Albox distrito 02;Renta media por hogar;2017;22.153
0400602 Albox distrito 02;Renta media por hogar;2016;21.397
0400602 Albox distrito 02;Renta media por hogar;2015;20.244
0400602001 Albox sección 02001;Renta media por persona ;2017;7.689
0400602001 Albox sección 02001;Renta media por persona ;2016;7.611
0400602001 Albox sección 02001;Renta media por persona ;2015;7.312
0400602001 Albox sección 02001;Renta media por hogar;2017;22.935
0400602001 Albox sección 02001;Renta media por hogar;2016;22.137
0400602001 Albox sección 02001;Renta media por hogar;2015;20.936
0400602002 Albox sección 02002;Renta media por persona ;2017;6.487
0400602002 Albox sección 02002;Renta media por persona ;2016;6.172
0400602002 Albox sección 02002;Renta media por persona ;2015;6.081
0400602002 Albox sección 02002;Renta media por hogar;2017;20.009
0400602002 Albox sección 02002;Renta media por hogar;2016;19.310
0400602002 Albox sección 02002;Renta media por hogar;2015;18.305
0400603 Albox distrito 03;Renta media por persona ;2017;7.576
0400603 Albox distrito 03;Renta media por persona ;2016;7.268
0400603 Albox distrito 03;Renta media por persona ;2015;7.587
0400603 Albox distrito 03;Renta media por hogar;2017;18.513
0400603 Albox distrito 03;Renta media por hogar;2016;18.109
0400603 Albox distrito 03;Renta media por hogar;2015;18.171
0400603001 Albox sección 03001;Renta media por persona ;2017;7.576
0400603001 Albox sección 03001;Renta media por persona ;2016;7.268
0400603001 Albox sección 03001;Renta media por persona ;2015;7.587
0400603001 Albox sección 03001;Renta media por hogar;2017;18.513
0400603001 Albox sección 03001;Renta media por hogar;2016;18.109
0400603001 Albox sección 03001;Renta media por hogar;2015;18.171
0400604 Albox distrito 04;Renta media por persona ;2017;6.782
0400604 Albox distrito 04;Renta media por persona ;2016;6.016
0400604 Albox distrito 04;Renta media por persona ;2015;6.355
0400604 Albox distrito 04;Renta media por hogar;2017;18.493
0400604 Albox distrito 04;Renta media por hogar;2016;16.737
0400604 Albox distrito 04;Renta media por hogar;2015;16.408
0400604001 Albox sección 04001;Renta media por persona ;2017;6.782
0400604001 Albox sección 04001;Renta media por persona ;2016;6.016
0400604001 Albox sección 04001;Renta media por persona ;2015;6.355
0400604001 Albox sección 04001;Renta media por hogar;2017;18.493
0400604001 Albox sección 04001;Renta media por hogar;2016;16.737
0400604001 Albox sección 04001;Renta media por hogar;2015;16.408
04007 Alcolea;Renta media por persona ;2017;7.773
04007 Alcolea;Renta media por persona ;2016;7.958
04007 Alcolea;Renta media por persona ;2015;7.876
04007 Alcolea;Renta media por hogar;2017;15.100
04007 Alcolea;Renta media por hogar;2016;15.743
04007 Alcolea;Renta media por hogar;2015;15.970
0400701 Alcolea distrito 01;Renta media por persona ;2017;7.773
